ID,Region,Country,City,Year,System_Type,GHI,Sunlight_Hours,Annual_Production_MWh,Total_Installations,Installation_Cost_USD,Avg_Price_per_kWh,Annual_Savings_USD,ROI_Percentage,CO2_Reduction_Tons,Sustainability_Score,Solar_Viability_Score,Reliability_Score,Risk_Level
25,Middle East,Saudi Arabia,Riyadh,2023,Utility-Scale,6.77,7.49,11758.13,2296,407905.47,0.1187,1395690.03,342.16,4842.38,59.66,65.98,93.71,Medium
26,Africa,Egypt,Nairobi,2021,Residential,3.96,10.81,9004.86,4976,483140.44,0.1251,1126507.99,233.16,4090.02,71.73,41.89,72.23,High
27,Africa,Kenya,Lagos,2023,Industrial,3.68,7.33,7239.56,2714,412929.89,0.1968,1424745.41,345.03,6299.37,86.85,33.77,76.82,High
28,North America,Canada,Phoenix,2022,Utility-Scale,6.17,6.62,12193.39,4672,299485.61,0.1126,1372975.71,458.44,8931.23,68.96,64.18,66.79,Medium
29,North America,Canada,Phoenix,2020,Residential,4.34,9.61,11808.72,1400,195012.15,0.1551,1831532.47,939.19,8712.63,75.56,46.34,97.43,High
30,Africa,Ghana,Accra,2023,Utility-Scale,5.98,5.11,10445.88,606,155690.87,0.1328,1387212.86,891,8390.98,57.37,55.26,98.37,Medium
31,Africa,Ghana,Lagos,2018,Utility-Scale,6.29,7.71,10740.74,1450,345226.11,0.0809,868925.87,251.7,8329.25,88.5,58.97,76.58,High
32,Africa,Egypt,Lagos,2019,Utility-Scale,5.33,9.71,15189.28,4145,494551.6,0.1812,2752297.54,556.52,13290.92,94.57,54.43,88.05,Medium
33,South America,Colombia,Bogota,2022,Industrial,4.54,6.11,8000.11,2235,394616.16,0.1686,1348818.55,341.81,5707.07,63.73,41.17,71.14,Medium
34,North America,USA,Chicago,2024,Residential,4.43,9.01,11977.93,4794,78902.98,0.1493,1788304.95,2266.46,8040.85,70.79,41.37,76.39,High
35,Africa,South Africa,Johannesburg,2020,Commercial,3.52,6.79,7363.62,1816,434051.58,0.2421,1782732.4,410.72,4488.2,87.38,35.66,83.53,Medium
36,Middle East,UAE,Abu Dhabi,2018,Residential,5.06,8.85,14136.65,4858,375881.62,0.2229,3151059.28,838.31,12154.28,99.04,50.94,95.37,High
37,South America,Argentina,Bogota,2021,Residential,6.97,5.68,8877.04,3463,197308.7,0.1573,1396358.39,707.7,5048.82,93.98,67.48,97.1,Medium
38,North America,Canada,New York,2022,Residential,4.4,4.95,7464.85,3889,68116.16,0.0853,636751.7,934.8,3908.91,91.96,45.21,69.3,High
39,Europe,Netherlands,Vienna,2021,Utility-Scale,4.52,6.9,8826.26,2565,483680.63,0.2021,1783787.15,368.79,6963,58.19,43.31,82.57,High
40,South America,Brazil,Buenos Aires,2023,Utility-Scale,5.87,9.9,12859.5,346,363736.85,0.1313,1688452.35,464.2,9543.41,90.28,61.66,82.07,Medium
41,Asia,Singapore,Shanghai,2022,Industrial,6.09,4.58,7012.38,1452,270590.77,0.1537,1077802.81,398.31,4074.85,94.58,60.5,65.97,High
42,Africa,South Africa,Johannesburg,2021,Residential,5.24,9.25,10936.15,3114,433270.92,0.2212,2419076.38,558.33,4848.34,94.08,49.84,78.12,Medium
43,Asia,Thailand,Mumbai,2023,Commercial,4.35,9.69,10026.05,3339,446143.99,0.1992,1997189.16,447.66,5395.36,50.51,47.98,63.34,Medium
44,Middle East,Kuwait,Muscat,2023,Industrial,5.29,4.61,5609.48,4518,231980.51,0.1214,680990.87,293.56,4106.03,68.45,53.43,73.41,Medium
45,Middle East,Qatar,Doha,2018,Industrial,4.51,5.28,5065.92,4839,103799.63,0.1711,866778.91,835.05,3956.96,59.26,42.26,78.88,High
46,Europe,Germany,Rome,2022,Residential,4.94,6.46,9585.31,4031,106962.33,0.0877,840631.69,785.91,4095.45,64.61,53.84,84.88,Low
47,Asia,Thailand,Jakarta,2024,Commercial,5.26,5.7,5658.62,449,473478.62,0.1612,912169.54,192.65,4589.47,70.04,48.34,84.55,Low
48,Africa,Egypt,Nairobi,2022,Industrial,7.48,5.27,12218.32,4831,322842.94,0.2144,2619607.81,811.42,6266.09,76.13,74.31,77.27,Medium
49,Africa,Morocco,Cairo,2020,Utility-Scale,7.34,5.15,11705.66,3356,331481.76,0.125,1463207.5,441.41,5157.44,61.99,73.92,66.1,Medium
50,North America,Canada,Houston,2023,Commercial,6.33,9.07,14765.81,3492,359323.21,0.2371,3500973.55,974.32,11722.78,81.25,64.91,96.41,Low
51,Europe,Germany,Rome,2021,Utility-Scale,3.79,5.58,4912.6,2240,387030.97,0.1768,868547.68,224.41,2673.95,56.22,39.79,87.29,High
52,North America,Canada,New York,2024,Residential,6.44,8.42,9998.89,2217,153015.99,0.1946,1945783.99,1271.62,8301.66,79.36,59.61,89.83,High
53,Europe,Italy,Vienna,2021,Industrial,6.11,10.45,13462.87,866,313398.33,0.1879,2529673.27,807.18,8695.17,54.56,59.58,73,Low
54,South America,Peru,Bogota,2021,Utility-Scale,6.15,7.1,13504.93,19,66513.71,0.095,1282968.35,1928.88,7106.29,55.8,64.23,93.73,High
55,North America,Canada,Houston,2023,Commercial,5.99,7.74,11829.28,246,73225.3,0.1254,1483391.71,2025.79,5506.61,64.4,63.71,78.9,High
56,Europe,Italy,Rome,2021,Industrial,3.55,7.15,5538.44,2400,428632.56,0.0993,549967.09,128.31,4838,82.39,32.04,96.37,High
57,Middle East,Saudi Arabia,Abu Dhabi,2024,Industrial,5.33,5.44,6158.69,2794,319719.92,0.2069,1274232.96,398.55,2883.83,53.49,56.03,93.32,High
58,North America,Canada,Phoenix,2022,Commercial,6.85,8.27,16552.41,2646,439367.27,0.1559,2580520.72,587.33,10629.47,66.62,71.13,74.71,Low
59,Middle East,Kuwait,Riyadh,2024,Industrial,3.67,9.34,10279.53,313,415134.01,0.1456,1496699.57,360.53,7523.02,91.04,41.51,79.32,Low
60,North America,USA,Miami,2024,Residential,5.6,7.47,12667.38,3266,234490.38,0.1913,2423269.79,1033.42,6044.63,73.47,60.69,73.2,High
61,Asia,India,Seoul,2024,Residential,6.01,10.27,16230.05,750,293457.21,0.185,3002559.25,1023.17,8397.19,84.22,57.97,68.87,Medium
62,South America,Brazil,Caracas,2019,Commercial,5.27,9.01,15839.38,4646,70695.94,0.2153,3410218.51,4823.78,8659.13,68.74,49.16,80.72,High
63,Europe,Italy,Berlin,2018,Commercial,6.98,8.53,13154.7,3821,460773.06,0.1043,1372035.21,297.77,8295.02,62.7,67.35,60.37,Medium
64,Middle East,Oman,Doha,2023,Industrial,4.7,10.75,15023.78,2950,255576.12,0.1314,1974124.69,772.42,13516.7,92.67,43.07,74.87,High
65,Asia,Indonesia,Tokyo,2019,Industrial,6.13,6.28,10633.01,2354,358609.77,0.2066,2196779.87,612.58,4513.95,80.32,61.27,95.26,Low
66,South America,Chile,Buenos Aires,2023,Industrial,4.5,9.41,13146.85,283,356384.79,0.1033,1358069.61,381.07,5897.44,81.37,40.39,90.76,High
67,Europe,France,Berlin,2024,Industrial,4.81,7.2,7415.93,3957,403930.76,0.229,1698247.97,420.43,4322.96,75.09,45.83,66.42,Medium
68,North America,USA,Miami,2021,Residential,4.06,10.78,14277.78,124,375897.52,0.2466,3520900.55,936.67,12616.34,90.23,39.26,90.84,Medium
69,Asia,Singapore,Bangkok,2023,Utility-Scale,5.02,8.65,10558.32,527,353676.45,0.1602,1691442.86,478.25,7494.02,97.16,48.48,83.79,High
70,Asia,Japan,Seoul,2021,Commercial,4.06,10.65,10020.29,4435,271681.08,0.0965,966957.99,355.92,8453.41,56.78,40.14,86.15,Medium
71,South America,Colombia,Sao Paulo,2018,Industrial,5.96,10.6,14376.07,3019,360626.3,0.1169,1680562.58,466.01,8946.92,61.81,58.23,98.26,High
72,Middle East,Saudi Arabia,Doha,2018,Commercial,7.37,10.67,25172.97,1041,91253.04,0.1161,2922581.82,3202.72,18118.16,98.55,69.21,73.01,High
73,Africa,Morocco,Lagos,2023,Residential,4.36,10.15,10437.53,2063,116399.38,0.2331,2432988.24,2090.21,4189.81,92.92,40.05,65.07,Low
74,North America,USA,Chicago,2021,Residential,4.93,9.62,13284.43,3682,57101.49,0.1251,1661882.19,2910.4,6155.73,71.05,45.44,62.48,Medium
75,Africa,Morocco,Lagos,2018,Utility-Scale,3.67,9.59,11522.48,894,284653.05,0.1579,1819399.59,639.16,10162.98,53.04,36.49,75.66,Medium
76,North America,USA,Denver,2024,Residential,3.76,6.29,6802.4,822,296760.4,0.1353,920364.72,310.14,6103.89,76.53,37.14,83.61,High
77,South America,Chile,Caracas,2023,Commercial,6.38,5.9,9665.12,2098,152822.11,0.1376,1329920.51,870.24,6057.61,70.8,59.75,76.64,Medium
78,Middle East,UAE,Dubai,2024,Industrial,6.83,5.11,6855.17,1011,382458.2,0.218,1494427.06,390.74,4649.08,79.32,68.92,72.86,Medium
79,South America,Venezuela,Bogota,2024,Residential,3.71,6.37,5509.17,4566,96620.25,0.1663,916174.97,948.22,2629.89,74.11,40.57,73.65,Medium
80,Asia,Indonesia,Delhi,2023,Industrial,5.22,8.15,13208.05,247,329775.71,0.1947,2571607.33,779.8,8959.94,80.45,53.78,87.05,Low
81,Asia,India,Singapore,2019,Industrial,3.52,10.15,9870.74,3449,230352.95,0.1041,1027544.03,446.07,7073.23,51.53,37.66,68.39,Medium
82,Asia,South Korea,Bangkok,2021,Utility-Scale,4.8,10.62,14342.51,3483,447503.98,0.1064,1526043.06,341.01,11147.26,52.49,43.82,77.28,Medium
83,Asia,Indonesia,Delhi,2020,Commercial,5.55,6.74,7438.43,458,355198.05,0.1808,1344868.14,378.62,4935.15,65.42,52.71,98.39,Low
84,Europe,France,Paris,2024,Utility-Scale,4.66,5.28,6509.34,2911,243794.76,0.102,663952.68,272.34,4337.12,61.51,47.19,86.05,Low
85,South America,Colombia,Sao Paulo,2024,Utility-Scale,3.57,10.49,12229.39,2670,309091.62,0.1775,2170716.72,702.29,9230.13,70.88,31.85,60.81,Low
86,South America,Brazil,Lima,2022,Residential,5.25,5.19,6922.64,635,230202.42,0.0934,646574.58,280.87,5782.22,87.29,49.72,90.39,High
87,Africa,Kenya,Lagos,2021,Utility-Scale,4.9,10.73,15232.89,627,116460.43,0.0975,1485206.78,1275.29,8042.72,58.67,45.53,89.61,Low
88,Africa,South Africa,Casablanca,2020,Residential,6.22,10.23,18408.88,2490,493939.38,0.1349,2483357.91,502.77,16300.82,65.81,61.6,78.29,Medium
89,Africa,Kenya,Cairo,2021,Residential,5.35,4.74,6154.26,4764,179184.66,0.1896,1166847.7,651.2,5469.19,54.51,54.44,74.99,High
90,Africa,Nigeria,Accra,2023,Commercial,4.79,7.59,7476.5,1423,77843.17,0.0976,729706.4,937.41,6351.76,67.17,50.04,79.68,Low
91,Middle East,Oman,Abu Dhabi,2022,Residential,5.59,5.53,7523.68,549,177302.11,0.1495,1124790.16,634.39,4282.36,79.89,58.79,85.24,Medium
92,South America,Peru,Bogota,2020,Residential,4.51,10.04,15574.18,3220,321215.37,0.1056,1644633.41,512,6864.34,83.18,49.27,72.1,Low
93,Africa,Ghana,Johannesburg,2020,Industrial,6.67,9.79,19192.76,2974,423031.54,0.2056,3946031.46,932.8,14254.6,76.32,68.16,76.51,Low
94,Europe,France,Madrid,2024,Industrial,7.29,7.66,12202.03,4323,111904.41,0.0931,1136008.99,1015.16,10032.68,55.06,75.61,92.57,Low
95,Africa,Morocco,Lagos,2024,Industrial,5.01,5.55,8934.7,1955,396994.02,0.2175,1943297.25,489.5,4313.4,71.88,49.21,86.38,Medium
96,South America,Argentina,Bogota,2019,Utility-Scale,5.64,6.51,11656.21,2318,261057.02,0.222,2587678.62,991.23,6806.3,97.36,61.24,78.01,Medium
97,Europe,France,Paris,2024,Commercial,3.71,7.62,6872.66,3690,470432.1,0.2009,1380717.39,293.5,4521.9,56.23,32.94,66.25,High
98,Middle East,Saudi Arabia,Dubai,2024,Industrial,6.77,10.25,23467.17,2620,236703.61,0.1474,3459060.86,1461.35,13774.78,69.31,63.52,68.76,Low
99,Europe,UK,Paris,2018,Utility-Scale,4.65,9.89,13719.85,1234,112456.71,0.1999,2742598.02,2438.8,8565.31,50.26,42.29,69.98,High
100,Asia,India,Delhi,2020,Commercial,3.99,6.05,6967.19,4720,330264.76,0.0907,631924.13,191.34,5701.56,74.99,40.26,84.65,Low
101,Middle East,Oman,Dubai,2021,Residential,4.91,8.21,8539.64,4168,350696.71,0.169,1443199.16,411.52,4955.57,97.67,49.54,90.67,High
102,Middle East,Kuwait,Dubai,2020,Residential,7.42,6.15,8339.94,2733,404834.01,0.1386,1155915.68,285.53,6392.32,81.41,76.92,88.67,Low
103,Africa,Ghana,Nairobi,2024,Residential,4.2,9.56,10398.8,2413,362925.16,0.1874,1948735.12,536.95,8378.82,53.16,44.76,77.85,Low
104,Europe,France,London,2024,Residential,7.23,7.85,19759.48,2729,294363.81,0.1231,2432391.99,826.32,15346.11,59.56,70.87,90.45,Medium
105,Asia,Thailand,Seoul,2022,Utility-Scale,6.47,10.32,16407.46,3487,488175.61,0.1644,2697386.42,552.54,10644.53,96.22,64.89,91.24,Low
106,Europe,France,Rome,2020,Utility-Scale,3.91,6.63,5969.07,2898,250662.09,0.202,1205752.14,481.03,2884.99,72.2,38.57,88.35,High
107,South America,Brazil,Sao Paulo,2024,Commercial,6.18,7.14,11791.34,1044,387454.09,0.1072,1264031.65,326.24,4900.13,92.43,63.58,77.09,Low
108,South America,Peru,Lima,2019,Industrial,5.03,8.19,11652.87,3270,355577.93,0.2413,2811837.53,790.78,6828.66,88.15,51.04,80.65,Medium
109,North America,USA,New York,2019,Residential,5.5,7.02,10636.45,4033,167799.5,0.1242,1321047.09,787.28,6627.96,99.82,52.86,95.74,Low
110,North America,USA,Miami,2024,Commercial,7.09,7.39,10213.08,2467,356868.17,0.2237,2284666,640.2,5717.22,67.37,66.55,81.14,Low
111,Asia,Japan,Delhi,2021,Industrial,7.44,9.65,15812.72,716,272309.87,0.1414,2235918.61,821.09,10849.72,73.37,79.23,65.06,Low
112,South America,Colombia,Caracas,2024,Commercial,5.6,9.5,17022.28,4526,83187.82,0.2453,4175565.28,5019.44,12275.95,72.5,57.8,73.44,High
113,Europe,Italy,Stockholm,2019,Industrial,7.14,4.86,6978.51,2336,118856.96,0.108,753679.08,634.11,3917.25,85.47,69.86,96.7,Low
114,South America,Peru,Santiago,2024,Residential,4,6.47,7005.49,4967,276157.92,0.1087,761496.76,275.75,6100.41,57.71,41.59,88.1,Medium
115,North America,USA,Los Angeles,2024,Commercial,7.29,9.51,15598.19,2484,144863.77,0.1773,2765559.09,1909.08,11059.96,51.51,76.79,81.28,Medium
116,South America,Peru,Bogota,2024,Commercial,5.31,8.98,9864.52,2839,237029.79,0.159,1568458.68,661.71,5623.73,57.18,56.71,72.45,Medium
117,Asia,India,Shanghai,2019,Industrial,4.47,5.3,6075.11,1318,113394.94,0.0886,538254.75,474.67,5301.7,93.21,43.88,97.54,Medium
118,Europe,Italy,Vienna,2020,Utility-Scale,5.37,10.21,14504.83,2314,90522.09,0.1469,2130759.53,2353.86,9117.96,62.04,54.53,61.9,Medium
119,Africa,Egypt,Cairo,2024,Utility-Scale,5.22,10.24,16232.35,612,393735.54,0.1422,2308240.17,586.24,9744.13,78.51,49.15,81.58,Medium
120,Africa,Morocco,Nairobi,2018,Residential,6.22,5.27,11333.94,4180,227256.67,0.2151,2437930.49,1072.77,6455.16,96.95,64.75,67.76,Medium
121,North America,Canada,Chicago,2022,Industrial,6.72,7.88,10872.43,2461,451909.26,0.1038,1128558.23,249.73,9412.09,65.93,66.13,84.04,High
122,Africa,South Africa,Casablanca,2020,Utility-Scale,6.33,6.45,13011.12,228,215761.01,0.1945,2530662.84,1172.9,11579.23,79.19,66.27,88.29,High
123,South America,Chile,Santiago,2019,Residential,4.41,4.83,5573.78,4700,285904.55,0.2026,1129247.83,394.97,4388.25,69.01,47.32,69.45,High
124,North America,Canada,Miami,2023,Industrial,5.18,7.18,7983.78,4259,275818.78,0.184,1469015.52,532.6,5076.11,92.42,54.07,87.53,Low
125,Middle East,Kuwait,Kuwait City,2020,Commercial,4.76,5.63,8979.24,3976,204047.16,0.1402,1258889.45,616.96,7057.64,86.05,49.03,87.04,Low
126,Africa,Nigeria,Nairobi,2022,Residential,7.27,10.88,24607.23,2250,367205.42,0.1973,4855006.48,1322.15,15859.4,73.99,73.3,96.44,Medium
127,South America,Colombia,Santiago,2019,Utility-Scale,7.08,7.06,11930.02,2110,397878.95,0.1049,1251459.1,314.53,5022.94,97.77,66.59,96.04,High
128,Europe,Italy,Rome,2018,Utility-Scale,6.28,5.39,9635.69,3395,314073.72,0.1212,1167845.63,371.84,7081.43,76.55,64.18,62.05,Medium
129,South America,Brazil,Buenos Aires,2024,Residential,7.36,10.86,16533.44,2348,343801.76,0.2297,3797731.17,1104.63,10545.85,82.53,76.16,71.2,High
130,North America,USA,Houston,2020,Residential,7.15,5.64,13306.84,2381,129104.92,0.2363,3144406.29,2435.54,11957.34,69.85,71.45,96.53,Low
131,Africa,Egypt,Casablanca,2023,Commercial,7.21,6.68,12389.37,932,338590.58,0.1691,2095042.47,618.75,10464.43,56.71,72.14,70.64,Medium
132,Middle East,Qatar,Muscat,2018,Industrial,6.37,4.59,6938.51,3513,182760.92,0.1946,1350234.05,738.8,3445.53,80.55,65.09,75.81,High
133,Middle East,UAE,Muscat,2023,Industrial,4.24,5.41,5390.81,4703,161621.19,0.1243,670077.68,414.6,2791.15,87.69,46.94,71.78,Low
134,Asia,Japan,Delhi,2019,Commercial,6.17,7.53,9624.3,2426,358733.13,0.2369,2279996.67,635.57,8121.95,88.49,63.6,84.91,Medium
135,Europe,Germany,Vienna,2022,Utility-Scale,5.32,10.93,14159.88,4890,365873.33,0.2352,3330403.78,910.26,11025.95,90.1,56.46,89.71,Low
136,South America,Brazil,Lima,2018,Utility-Scale,7.17,5.23,12033.15,1692,456299.67,0.1144,1376592.36,301.69,8042.12,58.23,75.24,77.23,High
137,Africa,Egypt,Johannesburg,2018,Residential,5.31,7.84,10726.31,1795,75981.55,0.1586,1701192.77,2238.96,8618.14,86.16,52.06,91.84,High
138,Middle East,UAE,Doha,2021,Utility-Scale,5.66,4.89,9189.37,3453,493761.76,0.1603,1473056.01,298.33,4994.84,59,52.95,85.02,Medium
139,Middle East,UAE,Abu Dhabi,2020,Residential,6.23,8.8,14894.64,1834,344090.34,0.1391,2071844.42,602.12,7287.01,76.86,62.59,88.39,Low
140,Middle East,Oman,Muscat,2019,Residential,5.2,6.97,7938.99,3444,257281.38,0.1064,844708.54,328.32,3923.77,93.76,54.65,61.26,High
141,Europe,UK,Berlin,2019,Industrial,5.88,7.4,12803.15,472,442495.59,0.1216,1556863.04,351.84,5404.44,71.95,59.2,89.42,Low
142,South America,Peru,Santiago,2023,Commercial,5.81,9.52,17651.19,4570,156606.82,0.229,4042122.51,2581.06,15759.83,76.06,57.24,70.73,High
143,South America,Chile,Bogota,2024,Commercial,5.48,10.82,20163.96,4416,352104.14,0.2136,4307021.86,1223.22,11279.06,70.82,51.29,74.68,Medium
144,Europe,Netherlands,Rome,2018,Industrial,4.08,7.51,5815.5,657,235704.87,0.1508,876977.4,372.07,3867.28,69.42,38.35,72.88,Medium
145,Africa,Nigeria,Accra,2018,Industrial,3.71,6.95,7293.01,1721,67796.4,0.0924,673874.12,993.97,5851.37,79.38,38.81,68.46,Medium
146,Europe,Netherlands,Madrid,2020,Industrial,3.97,11,11416.06,3128,159166.93,0.1827,2085714.16,1310.39,5733.79,95.76,40.22,90.25,Medium
147,Asia,Singapore,Singapore,2018,Commercial,7.03,7.53,16753.09,1822,375086.11,0.2095,3509772.35,935.72,9383.68,60.16,68.43,61.78,High
148,Asia,India,Seoul,2023,Commercial,4.11,6.64,6674.49,4028,425013.22,0.1649,1100623.4,258.96,4854.38,84.24,38.67,92.04,Medium
149,Asia,China,Mumbai,2019,Utility-Scale,6.38,7.67,16435.81,407,293961.58,0.1891,3108011.67,1057.28,7056.98,51.69,67.27,96.86,Low
150,South America,Brazil,Buenos Aires,2018,Utility-Scale,6.33,4.56,7677.3,64,217940.31,0.185,1420300.5,651.69,5630.36,80.83,63.13,79.03,High
151,North America,Canada,Phoenix,2020,Industrial,3.57,9.79,10295.86,4322,412775.46,0.2347,2416438.34,585.41,4669.26,54.82,32.19,67.49,Medium
152,Middle East,Qatar,Dubai,2021,Utility-Scale,7.34,7.48,12152.57,269,363756.34,0.131,1591986.67,437.65,9892.57,54.03,78.32,85.35,Low
153,Middle East,Kuwait,Kuwait City,2019,Commercial,3.72,4.56,3547.6,4336,274936.28,0.1538,545620.88,198.45,2810.37,78.29,40.78,63.72,Low
154,South America,Colombia,Santiago,2024,Commercial,4.58,10.51,14265.18,1707,176167.86,0.1723,2457890.51,1395.2,10400.1,58.97,49.3,60.61,High
155,South America,Brazil,Bogota,2018,Industrial,4.7,8.17,10611.11,652,432249.09,0.1951,2070227.56,478.94,7112.43,69.19,49.4,90.83,High
156,North America,USA,Seattle,2022,Industrial,6.85,6.71,14282.28,4029,479686.28,0.1474,2105208.07,438.87,11236.98,51.48,66.23,98.71,Low
157,Middle East,Saudi Arabia,Abu Dhabi,2020,Utility-Scale,6.22,8.79,10637.77,1273,328377.15,0.2157,2294566.99,698.76,8048.05,54.1,58.74,87.76,High
158,Asia,Japan,Shanghai,2022,Industrial,3.52,6.5,5518.34,225,171394.9,0.1025,565629.85,330.02,2724.38,72.44,35.75,75.91,Low
159,North America,Canada,Denver,2020,Industrial,3.55,7.19,7975.35,1398,376179.73,0.1751,1396483.79,371.23,7148.83,62.14,35.71,86.73,Low
160,Asia,China,Jakarta,2019,Residential,3.75,7.33,6915.51,1611,267904.09,0.0931,643833.98,240.32,3636.52,62.33,38.75,83.16,Medium
161,Asia,Thailand,Tokyo,2021,Commercial,4.83,8.53,13047.72,2636,198293.77,0.1369,1786232.87,900.8,10539.14,92.98,53.04,65.31,High
162,Asia,Thailand,Mumbai,2022,Commercial,7.37,6.39,14040.83,942,270953.29,0.1779,2497863.66,921.88,7318.25,68.8,76.86,75.32,High
163,Africa,Ghana,Lagos,2019,Utility-Scale,6.57,4.67,9315.83,3361,474338.71,0.1156,1076909.95,227.03,7441.88,91.56,61.39,93.06,High
164,South America,Argentina,Lima,2024,Residential,4.51,5.5,6249.17,3436,219645.87,0.1563,976745.27,444.69,4367.96,79.11,45.44,96.02,High
165,Asia,Japan,Shanghai,2018,Residential,6.58,8.77,13869.87,3536,341149.93,0.0875,1213613.62,355.74,12369.21,83.87,64.8,89.35,Low
166,Asia,Singapore,Delhi,2020,Residential,6.49,8.13,15665.7,211,149464.28,0.1436,2249594.52,1505.11,9893.38,83.98,66.8,65.88,Medium
167,Middle East,UAE,Dubai,2020,Residential,6.83,9.25,15113.06,3716,204380.01,0.2133,3223615.7,1577.27,9983.04,67.42,64.28,88.16,Medium
168,North America,USA,Los Angeles,2023,Utility-Scale,6.9,8.71,17736.04,3795,123959.34,0.2473,4386122.69,3538.36,9257.44,58.72,65.6,81.83,Low
169,Europe,Netherlands,Paris,2024,Residential,6.13,7.07,13233.86,522,447393.82,0.1564,2069775.7,462.63,8135.87,50.22,58.45,70.86,High
170,Africa,Kenya,Lagos,2022,Utility-Scale,4.8,7.47,8053.26,2860,438186.45,0.1697,1366638.22,311.89,5794.76,79.85,49.11,82.89,Medium
171,Europe,Italy,Rome,2019,Utility-Scale,5.86,8.87,12123.48,4718,157357.73,0.0999,1211135.65,769.67,7112.28,57.07,57.48,83.26,Medium
172,Middle East,Oman,Muscat,2019,Utility-Scale,6.27,8.69,19069.27,2951,299710.66,0.1632,3112104.86,1038.37,8965.38,65.73,62.21,62.09,Low
